"After a pause it will be open again","Nach einer Pause wird es wieder geöffnet sein"
"All day open","Den ganzen Tag geöffnet"
"All day open today","Heute den ganzen Tag geöffnet"
"Closed","Geschlossen"
"Closed today","Heute geschlossen"
"Compress table","Tabelle komprimieren"
"Discontinued time","Arbeitszeit mit Unterbrechung"
"First day of the week","Erster Tag der Woche"
"Fri","Fr."
"Friday","Freitag"
"o'clock","Uhr"
"Mon","Mo."
"Monday","Montag"
"Now closed","Jetzt geschlossen"
"Opening days","Öffnungstagen"
"Opening hours","Öffnungszeiten"
"OpeningHours Module","OpeningHours Modul"
"Sat","Sa."
"Saturday","Samstag"
"Sun","So."
"Sunday","Sonntag"
"Thu","Do."
"Thursday","Donnerstag"
"Today it will open again in %d hours, %d minutes","Heute wird es erneut in %d Stunden, %d Minuten geöffnet"
"Today it will open in %d hours, %d minutes","Heute wird es in %d Stunden, %d Minuten geöffnet"
"Today is still open for %d hours, %d minutes","Heute noch %d Stunden, %d Minuten geöffnet"
"We are still open for %d hours, %d minutes","Wir haben noch %d Stunden, %d Minuten geöffnet"
"Tue","Di."
"Tuesday","Dienstag"
"Wed","Mi."
"Wednesday","Mittwoch"
"Working hours","Durchgehende Arbeitszeit"
